PoiID	NEAR_X	NEAR_Y
0	586690.528	1110905.697
1	586260.5348	1109495.351
2	585608.1907	1108898.703
3	586627.3575	1110902.227
4	586690.528	1110905.697
5	586393.7856	1109743.468
6	585838.8736	1108979.904
7	586284.2758	1109507.846
8	586687.16	1110907.425
9	586690.528	1110905.697
10	586690.528	1110905.697
11	586690.528	1110905.697
12	586690.528	1110905.697
13	586392.7945	1109742.637
14	586368.0038	1109721.837
15	586178.389	1109426.122
16	585970.6503	1109256.136
17	586479.6047	1110600.267
18	586293.6374	1109575.54
19	586819.0607	1110026.299
20	586829.6358	1110036.602
21	586150.5816	1109419.663
22	584482.3524	1108446.687
23	584493.3938	1108698.74
24	584378.6274	1108559.225
25	584494.8368	1108700.467
26	585708.3821	1109075.83
27	584482.4471	1108446.631
28	584481.7078	1108447.067
29	586361.8985	1109069.959
30	584991.4835	1108360.278
31	584501.1163	1108707.983
32	586337.5295	1108916.899
33	580045.0334	1115288.413
34	585181.2113	1111647.462
35	585574.0912	1108867.572
36	585539.2393	1110473.651
37	585181.0563	1111647.308
38	585704.9189	1110309.698
39	585825.6467	1109126.475
40	584660.8249	1109465.154
41	584577.5567	1109598.542
42	584732.1623	1108975.001
43	586505.9053	1111249.135
44	586505.9053	1111249.135
45	584625.3533	1109521.976
46	586483.2919	1111235.258
47	584601.4274	1109560.304
48	584649.1963	1109483.782
49	585249.6187	1110768.242
50	584589.1837	1109579.917
51	585262.1973	1110755.267
52	584636.9833	1109503.346
53	584613.0561	1109541.675
54	586083.0253	1110993.117
55	586276.6317	1111114.992
56	586860.5138	1110093.578
57	586098.7679	1111002.906
58	586291.3053	1109514.755
59	586100.3622	1109351.079
60	586108.4696	1109377.91
61	586141.421	1109410.941
62	586155.073	1109423.94
63	584111.5674	1110599.739
64	581302.7193	1114066.518
65	581775.5193	1114069.053
66	584112.7742	1110600.945
67	586296.6316	1109624.416
68	586224.0997	1109467.079
69	583285.8703	1112740.875
70	583442.6322	1108133.22
71	582738.3853	1108634.514
72	584112.8538	1110601.025
73	583958.1832	1112065.2
74	583115.8957	1110835.12
75	584204.8612	1111817.355
76	584416.0687	1108606.189
77	584322.1243	1108492.132
78	584425.6831	1108617.696
79	584527.6889	1108739.442
80	584419.8828	1108610.754
81	584408.576	1108597.22
82	584584.45	1108805.321
83	584645.5072	1109489.692
84	584606.2542	1109552.571
85	584584.3112	1109587.722
86	584644.08	1109491.978
87	584654.1817	1109475.796
88	584633.4955	1109508.933
89	584594.6367	1109571.182
90	584579.9348	1109594.733
91	586184.4557	1109827.116
92	586292.1899	1109516.424
93	585630.9995	1109158.697
94	586193.1524	1109819.171
95	583678.0465	1112345.904
96	584680.0624	1111339.584
97	584503.8365	1108711.239
98	584662.6275	1108895.615
99	584662.6275	1108895.615
100	584993.6096	1109407.252
101	585482.8117	1109227.478
102	584343.6152	1108517.666
103	584422.3476	1108613.704
104	584413.4001	1108602.994
105	584413.5194	1108603.137
106	584512.1644	1109693.038
107	583888.3646	1110377.665
108	586337.1711	1110887.184
109	586292.1899	1109516.424
110	586361.8985	1109069.959
111	585949.0728	1109217.704
112	586337.5295	1108916.899
113	586284.2758	1109507.846
114	584675.9028	1109441.001
115	584621.1498	1109528.71
116	584941.2969	1109275.426
117	584980.2767	1109376.167
118	584916.7614	1109217.089
119	584999.6299	1109424.289
120	585019.4797	1109480.462
121	585030.9715	1109512.984
122	585284.6549	1109480.869
123	585157.1232	1109620.514
124	585371.0658	1110425.927
125	584546.3908	1109645.391
126	584790.8385	1109041.995
127	584564.8575	1108782.581
128	584450.51	1108647.412
129	584646.4559	1108877.153
130	584663.5828	1108896.706
131	584774.7417	1109023.617
132	584808.0918	1109061.694
133	584698.5913	1109404.457
134	584616.1945	1109536.648
135	584401.7293	1108589.025
136	584666.5428	1109455.994
137	584584.9772	1109586.655
138	584657.1882	1109470.98
139	584736.5062	1108294.178
140	584391.7816	1108576.516
141	584535.8547	1108748.919
142	584723.9197	1109388.589
143	584723.7502	1108965.397
144	584276.5905	1108438.032
145	584233.6644	1108387.03
146	584509.6236	1109724.179
147	584268.8867	1108396.369
148	583862.5241	1107946.201
149	583174.7965	1107136.6
150	583015.1921	1108444.822
151	586816.0694	1110194.232
152	585743.0555	1110724.013
153	586379.1623	1110691.676
154	586310.2407	1110658.512
155	586211.9273	1110611.078
156	586257.6842	1110633.224
157	586004.7826	1110491.172
158	585918.6708	1110429.801
159	585847.4886	1110378.575
160	586393.4859	1109743.217
161	586392.5471	1109742.429
162	583117.736	1106800.057
163	584188.7176	1110677.658
164	584569.2404	1109611.864
165	584737.3116	1108980.881
166	582444.4202	1113487.152
167	584680.2584	1109434.023
168	582044.8968	1109198.467
169	583026.2167	1106846.042
170	582781.8144	1106927.65
171	582492.3812	1106798.706
172	569983.3392	1118136.06
173	585020.3244	1110997.596
174	584068.2602	1111954.223
175	583701.2223	1112322.931
176	583568.7196	1112455.255
177	579842.2666	1115426.876
178	579790.8333	1115464.775
179	574449.4138	1112773.794
180	579273.9357	1111011.954
181	582353.5858	1106666.247
182	582418.5644	1106715.936
183	582433.0769	1106730.642
184	587548.9429	1106201.138
185	587906.6728	1105708.211
186	588472.4966	1108909.463
187	582103.0701	1104880.467
188	581411.6043	1102957.904
189	581071.3056	1102349.971
190	586036.0853	1109972.842
191	586819.0607	1110026.299
192	583707.7785	1107223.303
193	585613.9995	1108904.005
194	585549.2862	1108408.523
195	586361.8985	1109069.959
196	584731.0456	1108152.651
197	585976.3608	1109261.182
198	584260.4408	1108418.844
199	583071.4751	1105002.573
200	583442.01	1100919.137
201	559101.2967	1134738.8
202	558454.5694	1135312.241
203	558236.5358	1135384.73
204	558020.1735	1135728.344
205	558266.0922	1135377.054
