PoiID	NEAR_X	NEAR_Y
0	720881.5374	1207448.408
1	720881.5374	1207448.408
2	712873.8648	1193520.715
3	703377.0444	1211841.428
4	703383.0761	1211839.363
5	718046.99	1211388.783
6	718046.636	1211388.649
7	764518.8654	1208039.641
8	698136.6674	1211027.101
9	698600.128	1210684.036
10	698596.2159	1210686.809
11	698595.5866	1210687.255
12	699528.9164	1209655.745
13	700434.6456	1211995.859
14	702163.0718	1206299.687
15	705954.9345	1186044.737
16	706081.4152	1186043.662
17	706099.0032	1186044.344
18	706114.6649	1186052.295
19	706243.4809	1186113.222
20	706260.5577	1186117.361
21	706114.6649	1186052.295
22	706118.158	1186055.682
23	706056.9015	1186109.192
24	705811.6041	1186031.99
25	706090.7832	1186123.711
26	706102.697	1186046.22
27	706323.6984	1186132.664
28	698117.5539	1211746.067
29	701723.2978	1212717.016
30	702840.15	1214569.196
31	704158.1307	1214850.27
32	700224.7918	1210833.636
33	700151.5388	1210817.042
34	698440.6708	1210800.28
35	694891.5046	1209457.396
36	702152.7612	1206278.143
37	698162.6982	1211006.549
38	698156.0649	1211011.786
39	698180.4626	1210992.523
40	698160.0234	1211008.661
41	698146.5018	1211019.336
42	698700.251	1210649.873
43	698767.9233	1210542.475
44	699489.6886	1210681.775
45	699154.0271	1210936.69
46	704246.1694	1210730.284
47	704233.1891	1210692.84
48	700898.8965	1212526.65
49	700977.8028	1212545.138
50	701607.0723	1212688.275
51	701726.2096	1212717.732
52	702310.9115	1205808.943
53	702012.1182	1206182.359
54	702537.3265	1205672.981
55	702050.0801	1206211.883
56	701945.7118	1206131.03
57	702557.8124	1206688.267
58	701640.2978	1205946.778
59	701903.5067	1206099.764
60	713056.8716	1193117.636
61	713128.4236	1192979.491
62	697666.8454	1208497.64
63	699145.0293	1210969.146
64	698291.9721	1211702.024
65	697008.5863	1211450.241
66	698263.5317	1211745.651
67	695767.3138	1211829.752
68	698283.3825	1211702.083
69	699100.0134	1211132.26
70	698470.0524	1211743.331
71	699152.7085	1210941.446
72	698249.7303	1211702.343
73	698381.2068	1211744.411
74	697750.6636	1211657.89
75	717460.8423	1211133.179
76	718448.9369	1211467.265
77	719180.5722	1211485.036
78	762638.0657	1208837.225
79	720881.5374	1207448.408
80	707235.7344	1205424.779
81	710281.2196	1201607.289
82	740766.756	1226738.419
83	701757.965	1215073.99
84	701757.7775	1215046.586
