PoiID	NEAR_X	NEAR_Y
0	850818.7015	1212408.131
1	849640.2038	1211860.394
2	850852.5327	1212422.288
3	850456.3728	1212240.992
4	849609.9883	1211845.624
5	850747.7237	1212378.243
6	850373.688	1212200.004
7	849496.2033	1211791.003
8	850234.368	1212135.051
9	850933.3424	1212455.253
10	850957.2597	1212465.2
11	849933.6056	1212004.822
12	849710.1994	1211894.6
13	850560.2115	1212294.13
14	851050.2121	1212504.965
15	850504.697	1212265.418
16	849780.4685	1211929.393
17	849559.719	1211820.356
18	850580.8339	1212303.922
19	849960.4933	1212017.639
20	850067.1072	1212063.108
21	850544.2922	1212286.163
22	850881.3941	1212434.257
23	851000.2378	1212483.247
24	849868.7032	1211972.587
25	849985.0447	1212028.308
26	851454.8793	1212664.012
27	851112.7915	1212529.73
28	851464.5182	1212667.831
29	851403.7364	1212643.868
30	851201.157	1212564.663
31	851751.6026	1212746.167
32	851201.8629	1212564.927
33	851494.5646	1212679.54
34	851220.3076	1212572.136
35	851275.5217	1212593.343
36	851546.5148	1212696.547
37	851155.4385	1212546.762
38	851707.2719	1212735.975
39	851587.6797	1212706.886
40	851111.7158	1212529.324
41	851266.6166	1212589.896
42	851609.7647	1212712.339
43	851185.0954	1212558.776
44	851433.663	1212655.632
45	851355.3697	1212625.455
46	851226.6166	1212574.578
47	851671.4805	1212727.952
48	852086.0795	1212811.681
49	852206.5557	1212840.476
50	851972.9071	1212781.421
51	852118.0622	1212818.972
52	852232.1588	1212846.445
53	875495.8929	1322268.995
54	874400.4558	1322183.746
55	875255.8413	1322193.746
56	875134.4441	1323065.489
57	874755.1656	1323350.606
58	876407.5581	1323149.14
59	873147.7744	1224856.651
60	838930.6645	1209890.26
61	839066.8003	1209654.561
62	839152.6075	1209624.136
63	839018.6715	1209758.859
64	846868.6167	1211660.589
65	838279.1161	1210405.309
66	838011.2297	1208966.349
67	889251.5549	1238108.453
68	934325.1748	1282683.041
69	934325.4329	1282682.843
70	831075.6731	1403912.397
71	860190.9582	1211910.82
72	801046.9495	1182483.789
73	801546.4425	1182811.786
74	801387.783	1182671.201
75	801545.4845	1182813.118
76	819569.9058	1407534.484
77	819569.9058	1407534.484
78	819070.1109	1396447.219
79	820692.3116	1396989.017
80	824192.8053	1398246.366
81	816343.4771	1395214.381
82	812875.7895	1392838.332
83	812748.3721	1392825.812
84	825125.6043	1387929.363
85	825097.2967	1387996.761
86	820302.7257	1413717.282
87	819484.4137	1409396.288
88	821147.294	1413560.037
89	826565.3412	1403504.141
90	826565.8171	1403583.015
91	824236.292	1391245.93
92	847776.5066	1212115.098
93	823848.215	1186725.098
94	821684.3755	1186722.655
95	847449.8002	1211957.046
96	847787.3604	1212120.162
97	847434.8644	1211949.662
98	853704.8518	1212905.301
99	838988.0929	1209517.333
100	860451.9681	1211747.552
101	860397.1713	1211880.987
102	860452.1593	1211550.165
103	831234.7122	1404008.012
104	833619.0575	1405689.571
105	830730.3169	1403726.977
106	830556.1262	1403090.498
107	831610.994	1404289.678
108	830527.9739	1402993.167
109	830515.5832	1402950.329
110	830576.838	1403163.398
111	830514.2097	1402945.327
112	830502.2474	1402896.724
113	830417.5242	1402583.325
114	830284.902	1402376.24
115	830566.8347	1403127.521
116	829636.2041	1401768.551
117	829518.4279	1401675.022
118	829375.4841	1401559.178
119	830690.6492	1403565.911
120	831085.1387	1403902.029
121	830931.6156	1403810.515
122	830774.1477	1403892.353
123	830768.5417	1403870.351
124	830698.0769	1403652.157
125	830994.4628	1403831.676
126	831093.4849	1403907.842
127	832004.7863	1404567.751
128	831244.7009	1404872.944
129	830752.832	1403808.633
130	830754.4302	1403814.917
131	830628.4427	1403949.201
132	830745.2784	1403638.098
133	847932.8118	1210888.952
134	806480.2231	1278408.44
135	806381.5459	1278573.831
136	806042.8369	1278632.731
137	806039.3024	1278425.171
138	806257.5085	1278411.698
139	805742.7338	1277582.482
140	806056.2666	1279376.271
141	807726.7504	1277324.004
142	806159.0531	1277578.999
143	806322.1222	1277786.865
144	806655.3523	1277471.954
145	803368.9576	1276375.983
146	810146.499	1278279.913
147	808311.7136	1277723.627
148	830405.0199	1402538.747
149	830405.0199	1402538.747
150	831407.4936	1404145.744
151	832976.3875	1405244.247
152	830491.0257	1402851.13
153	830699.4965	1403669.734
154	830633.0898	1403369.311
155	830192.965	1402287.037
156	830636.6494	1403382.255
157	830663.1703	1403478.701
158	831540.0054	1404239.801
159	831631.5301	1404304.128
160	831595.7701	1404278.965
161	831268.6461	1404046.947
162	831500.1343	1404193.104
163	831877.3074	1404459.601
164	830586.9747	1403200.618
165	830656.3837	1403454.021
166	831696.7402	1404349.68
167	831799.3592	1404421.684
168	831999.3256	1404563.867
169	831834.7343	1404446.838
170	831851.8572	1404459.013
171	831892.466	1404487.888
172	831910.5706	1404500.762
173	832304.166	1404756.641
174	832295.8981	1404750.899
175	829698.3328	1401817.828
176	830636.0176	1403379.958
177	829661.0728	1401788.276
178	830600.4597	1403250.131
179	830605.3406	1403268.053
180	830344.1008	1403943.875
181	830617.2824	1403311.826
182	831325.6927	1404087.208
183	830896.7059	1404342.993
184	830930.2281	1404466.168
185	829566.6593	1403940.359
186	829842.8182	1403942.65
187	830026.2855	1403943.432
188	829701.0326	1403941.329
189	830896.3621	1404341.719
190	830894.9338	1404336.426
191	830898.6258	1404350.107
192	831410.9971	1404130.454
193	831630.9443	1404285.044
194	831645.7311	1404295.437
195	831684.3565	1404322.585
196	831489.9624	1405161.7
197	831505.0874	1405180.261
198	831453.6855	1405117.364
199	831883.0407	1405623.53
200	831834.0756	1405568.042
201	831717.6663	1405433.629
202	829240.0333	1403937.632
203	829257.1396	1403938.183
204	831747.5623	1404384.875
205	831959.7351	1404535.718
206	832006.0454	1404568.646
207	833000.9732	1405244.175
208	833097.5434	1405311.584
209	833108.5128	1405319.225
210	833148.4484	1405347.04
211	833047.1851	1406775.924
212	832102.7912	1405880.704
213	831848.8896	1405584.536
214	831760.0393	1405483.536
215	831997.8652	1405757.676
216	832978.6325	1405245.808
217	830430.1143	1402628.327
218	831500.7547	1405174.944
219	831298.4457	1404936.309
220	831430.799	1405090.026
221	836058.6901	1404379.699
222	830622.7751	1403331.8
223	827640.1394	1403926.34
224	827702.1587	1403926.347
225	828326.717	1403900.338
226	826937.7347	1398989.13
227	826902.4666	1398961.583
228	827028.3702	1399059.924
229	827110.1	1399123.76
230	827168.5154	1399169.384
231	828095.38	1400092.854
232	828326.1608	1400341.159
233	830718.4464	1403950.119
234	830629.0443	1403949.21
235	830545.7839	1403948.173
236	830553.0424	1403948.25
237	830847.4535	1404164.681
238	830970.8467	1404544.124
239	828696.6635	1400776.442
240	829009.5097	1401249.722
241	828509.0983	1400536.709
242	830511.8032	1402935.55
243	830944.8211	1403800.779
244	834566.2027	1406602.989
245	835726.2624	1408188.517
246	835803.9767	1408252.399
247	833760.2298	1405774.702
248	833656.347	1405698.653
249	828563.5381	1400593.474
250	831489.1783	1405160.738
251	827906.2902	1403531.04
252	831384.6412	1405034.185
253	831245.9505	1404874.434
254	837248.7579	1401804.049
255	831277.1184	1404038.31
256	833840.6463	1405865.132
257	829419.035	1401594.472
258	829148.5595	1403937.535
259	832144.1818	1404665.749
260	831767.4408	1404381.106
261	831409.1927	1404129.186
262	833167.1313	1405376.694
263	833365.6462	1405514.403
264	833377.9138	1405522.913
265	832175.703	1405965.209
266	829887.1326	1401986.979
267	836796.7229	1408847.813
268	830687.1674	1403570.925
269	833014.1354	1405253.373
270	830473.6598	1402788.714
271	830637.0912	1403383.862
272	829406.8364	1401584.586
273	830525.3009	1402983.926
274	833143.3453	1407734.614
275	831430.7872	1402348.972
276	837349.1169	1401722.845
277	831836.234	1404447.904
278	829300.6386	1401498.534
279	829826.3186	1401928.613
280	829325.9668	1401518.391
281	830671.238	1403508.04
282	834272.4627	1404152.653
283	834088.0516	1404175.964
284	834111.1454	1404168.066
285	836625.2683	1402411.958
286	836638.1882	1402399.614
287	834190.1178	1406165.168
288	828758.3858	1403845.287
289	827929.4543	1402825.155
290	828568.771	1403800.247
291	828588.9598	1403792.988
292	829476.3944	1403939.549
293	827929.079	1402920.558
294	828734.734	1403836.95
295	828643.9964	1403804.959
296	840582.4838	1209591.117
297	840582.4838	1209591.117
298	840582.4838	1209591.117
299	840582.4838	1209591.117
300	840582.4838	1209591.117
301	814141.1548	1393041.57
302	828889.3839	1401078.222
303	826628.3038	1398745.995
304	848146.2772	1461984.934
305	848358.8226	1461812.08
306	847745.155	1462550.871
307	839672.5544	1209860.995
308	840034.9021	1210917.662
309	840068.3961	1209727.27
310	840493.5969	1209606.481
311	840548.9194	1209590.162
312	841809.5791	1210847.077
313	839582.9484	1210904.54
314	840126.1691	1210808.12
315	840126.0382	1210804.265
316	838747.3739	1209772.374
317	839033.4742	1210138.169
318	839172.3967	1210455.789
319	840692.1027	1210373.091
320	838747.3739	1209772.374
321	838747.3739	1209772.374
322	838747.3739	1209772.374
323	840073.3818	1209995.08
324	839426.994	1209938.126
325	838362.9451	1210341.431
326	837658.4785	1210967.212
327	839541.2931	1211653.272
328	851085.921	1212519.543
329	837488.5925	1208744.679
330	838747.3739	1209772.374
331	840053.4621	1210917.966
332	846709.3546	1210951.248
333	839909.137	1209410.973
334	876066.3432	1322472.598
335	847131.3259	1210878.719
336	840105.746	1210307.856
337	840097.6039	1210211.729
338	840449.347	1209618.888
339	840485.5351	1209608.748
340	838555.2476	1210411.173
341	844669.8734	1211060.739
342	847560.1347	1210919.199
343	847555.7712	1210920.004
344	847481.9124	1210949.407
345	847394.1836	1210974.514
346	847256.7664	1211862.988
347	839877.6455	1212131.215
348	839902.4426	1212092.856
349	839931.988	1212179.623
350	839854.5248	1212184.845
351	839848.6224	1212084.205
352	839878.7893	1212172.59
353	940165.992	1293909.277
354	940205.3134	1293964.888
355	943128.5121	1298551.539
356	803167.1609	1278594.665
357	803167.1609	1278594.665
358	803167.1609	1278594.665
359	874606.1589	1322381.161
360	874492.1423	1322287.731
361	783740.3212	1348215.72
362	834086.3219	1281370.847
363	802234.805	1277857.067
364	833688.606	1405720.69
365	831257.4029	1407028.468
366	833112.2306	1405338.609
367	831267.5186	1407032.698
368	832791.9617	1406445.043
369	831989.3647	1402234.234
370	832136.0835	1284295.454
371	832139.5515	1284292.193
372	835128.1902	1281323.369
373	832653.246	1283677.107
374	834040.0092	1282714.165
375	837567.4878	1284528.638
376	832017.897	1284434.235
377	809758.3387	1281528.184
378	809758.3387	1281528.184
379	809758.3387	1281528.184
380	771531.8003	1271978.224
381	771370.0944	1271751.191
382	811274.7814	1381728.862
383	811274.0711	1381727.336
384	865337.7164	1299539.051
385	865624.7869	1294107.545
386	867895.2545	1300054.075
387	867620.6942	1299882.65
388	867621.4018	1299882.447
389	803197.2787	1179837.299
390	803114.8831	1179867.94
391	802997.0438	1178959.744
392	802619.9237	1178768.185
393	801097.2328	1182461.921
394	800993.2786	1182208.225
395	801067.8901	1182090.25
396	800994.7234	1182387.72
397	883161.3192	1242694.728
398	882356.5537	1242797.152
399	882511.2397	1242795.504
400	882356.5537	1242797.152
401	883267.1022	1242686.057
402	882749.6293	1242754.457
403	882726.945	1242758.661
404	889272.2819	1238043.921
405	889271.9584	1238044.911
406	889274.6241	1238036.752
407	889251.6181	1238108.262
408	889585.1959	1237563.029
409	889582.2214	1237560.618
410	889194.1773	1238279.698
411	889409.4881	1238840.586
412	889424.225	1237436.418
413	889759.0098	1237563.269
414	798124.9568	1197778.766
415	841896.1814	1224574.835
416	849177.3019	1211585.715
417	827906.3965	1404018.12
418	856246.1929	1212391.394
419	856243.5743	1212392.417
420	813426.4313	1388466.988
421	849384.3403	1211724.818
422	849390.0248	1211728.513
423	781425.4372	1263581.917
424	878051.2432	1315176.146
425	865405.1443	1217207.864
426	865778.1682	1217819.944
427	862041.8353	1213459.508
428	860874.3186	1212520.393
429	834363.3145	1204070.85
430	833856.3199	1203008.634
431	830865.2837	1195100.152
432	830196.4332	1191591.4
433	830308.72	1192178.508
434	829741.8494	1189070.182
435	829828.3056	1189893.243
436	829954.763	1190454.759
437	829413.3952	1188417.564
438	828870.2881	1187578.52
439	828311.4226	1186314.256
440	874754.6712	1322005.774
441	874749.037	1322045.974
442	874482.7985	1322276.847
443	874709.8985	1322486.125
444	834469.5764	1204269.308
445	834279.5229	1203891.748
446	833773.2889	1202846.175
447	834126.7821	1203608.804
448	833885.6521	1203099.229
449	834418.3901	1204179.772
450	834365.0976	1204074.745
451	849425.0295	1211751.323
452	773516.8963	1328214.754
453	773515.3074	1328196.361
454	773433.6776	1327871.971
455	773388.4971	1327487.518
456	762715.2065	1314989.946
457	762846.3565	1318695.078
458	762846.3565	1318695.078
459	761127.6613	1317957.11
460	761047.9719	1317936.012
461	761580.9911	1318508.761
462	761951.9876	1318676.027
463	762116.5315	1318707.706
464	763092.2134	1318936.459
465	872958.5556	1331006.666
466	855608.2099	1212655.467
467	855565.0135	1212656.566
468	855523.5336	1212657.622
469	855564.6904	1212656.575
470	855604.0687	1212655.572
471	855615.295	1212655.284
472	855840.3998	1212580.407
473	855797.4896	1212605.431
474	855544.481	1212657.089
475	855523.6211	1212657.62
476	855487.1791	1212658.547
477	855491.9156	1212658.427
478	855603.7583	1212655.58
479	855426.0977	1212662.044
480	855427.1216	1212661.872
481	855312.5696	1212693.286
482	855328.7277	1212688.279
483	855377.7602	1212673.085
484	856037.593	1212468.675
485	856057.74	1212460.264
486	856148.8369	1212426.937
487	856288.3062	1212374.887
488	845616.9235	1211125.028
489	845573.2884	1211119.36
490	845604.4628	1211123.409
491	846572.9686	1210984.128
492	846530.4933	1210993.973
493	846662.2425	1210962.753
494	846644.1591	1210967.169
495	846375.3236	1211030.532
496	846912.7142	1210900.614
497	847033.4818	1210864.778
498	847203.2459	1210904.319
499	847086.8415	1210870.943
500	847571.8814	1210917.031
501	847589.261	1210913.823
502	847606.3516	1210910.666
503	847622.9661	1210907.596
504	847638.9838	1210904.638
505	847656.0915	1210901.479
506	847669.8028	1210898.946
507	847687.0864	1210895.754
508	847701.1197	1210893.163
509	847693.4019	1210894.588
510	847677.6488	1210897.497
511	847661.3532	1210900.507
512	847631.851	1210905.956
513	847615.566	1210908.963
514	847599.1077	1210912.005
515	847582.3397	1210915.1
516	847527.2678	1210931.352
517	847603.7309	1210911.151
518	847587.0753	1210914.226
519	847526.9503	1210931.479
520	847512.3599	1210937.287
521	847640.2408	1210904.406
522	847654.2415	1210901.82
523	847664.4951	1210899.927
524	847678.1515	1210897.404
525	847691.3953	1210894.959
526	847607.4317	1210910.467
527	847620.3208	1210908.085
528	847632.3446	1210905.864
529	847646.241	1210903.298
530	847660.3805	1210900.687
531	847675.5035	1210897.894
532	847507.336	1210939.286
533	847527.0576	1210931.436
534	847515.6613	1210935.972
535	847504.9602	1210940.232
536	847492.1351	1210945.337
537	847483.1162	1210948.928
538	847468.238	1210954.85
539	847460.4574	1210957.947
540	847512.8391	1210937.096
541	847593.5154	1210913.037
542	847604.6804	1210910.975
543	847618.2792	1210908.462
544	847630.3221	1210906.238
545	847647.2206	1210903.117
546	847663.0745	1210900.189
547	847647.5883	1210903.049
548	847635.7293	1210905.239
549	847622.3095	1210907.718
550	847605.0745	1210910.902
551	847506.7753	1210939.51
552	847496.0444	1210943.781
553	847488.8541	1210946.644
554	847480.1837	1210950.095
555	847460.4574	1210957.947
556	847452.4969	1210960.399
557	847420.6279	1210970.961
558	847420.6279	1210970.961
559	847460.4574	1210957.947
560	847460.4574	1210957.947
561	847460.4574	1210957.947
562	847472.5395	1210953.138
563	847626.6203	1212044.462
564	847641.008	1212051.575
565	847664.5209	1212062.848
566	847678.8585	1212069.537
567	847693.217	1212076.237
568	847706.823	1212082.585
569	847720.961	1212089.182
570	847738.3734	1212097.306
571	847755.6874	1212105.384
572	847774.2678	1212114.054
573	847791.7333	1212122.203
574	847801.6888	1212126.848
575	847805.7481	1212128.958
576	847822.3143	1212137.553
577	847842.4122	1212147.677
578	847858.2874	1212155.547
579	847872.6846	1212162.685
580	847889.0981	1212170.822
581	847932.6612	1212192.42
582	847943.6007	1212197.843
583	847954.4874	1212203.241
584	847966.0331	1212208.965
585	847976.4646	1212214.136
586	847987.2891	1212219.503
587	848000.9044	1212226.253
588	848016.7319	1212234.1
589	848035.295	1212243.303
590	848052.5677	1212251.866
591	848069.5788	1212260.3
592	848085.4346	1212268.161
593	848101.6039	1212276.177
594	848118.6007	1212284.604
595	848136.4342	1212293.445
596	848152.6166	1212301.468
597	848168.0896	1212309.139
598	848184.1297	1212317.091
599	848200.3458	1212325.131
600	848216.0993	1212332.941
601	848232.5606	1212341.102
602	848248.5747	1212349.041
603	848263.9113	1212356.645
604	848279.0668	1212364.159
605	848295.4394	1212372.276
606	848309.8592	1212379.425
607	848325.1058	1212386.984
608	848341.2061	1212394.966
609	848365.7121	1212406.777
610	848516.8916	1212451.458
611	848534.7198	1212453.607
612	848574.684	1212458.425
613	848556.6341	1212456.249
614	848537.8819	1212453.989
615	848341.6151	1212395.168
616	848324.9121	1212386.888
617	848308.367	1212378.685
618	848291.1866	1212370.167
619	848274.9094	1212362.097
620	848258.3697	1212353.898
621	848241.7362	1212345.651
622	848225.1317	1212337.419
623	848922.7076	1211415.759
624	848907.3182	1211406.256
625	848904.7922	1211404.697
626	848896.0773	1211398.777
627	848881.2839	1211388.729
628	848869.2838	1211380.577
629	848857.9176	1211372.64
630	848842.9933	1211362.218
631	848828.528	1211352.117
632	848826.113	1211350.43
633	848826.113	1211350.43
634	848815.1423	1211341.61
635	848815.1423	1211341.61
636	848815.1423	1211341.61
637	848815.1423	1211341.61
638	848807.4315	1211333.954
639	848807.4315	1211333.954
640	848807.4315	1211333.954
641	848798.0887	1211323.156
642	848792.4901	1211316.686
643	848792.4901	1211316.686
644	848792.4901	1211316.686
645	848792.4901	1211316.686
646	848792.4901	1211316.686
647	848790.7712	1211313.851
648	848781.0563	1211297.829
649	848772.4116	1211283.573
650	848761.7981	1211266.114
651	847934.5528	1212193.358
652	847950.0937	1212201.062
653	847965.3661	1212208.634
654	847979.484	1212215.633
655	847995.8709	1212223.757
656	848010.6817	1212231.1
657	848025.7228	1212238.557
658	848043.9216	1212247.58
659	848059.629	1212255.367
660	848075.6213	1212263.296
661	848092.1644	1212271.497
662	848108.8094	1212279.749
663	848124.7064	1212287.631
664	848140.7121	1212295.566
665	848157.2256	1212303.753
666	848173.3357	1212311.74
667	848191.1492	1212320.571
668	848209.6691	1212329.753
669	848296.5022	1212372.803
670	848310.9123	1212379.947
671	848326.3167	1212387.584
672	848340.9521	1212394.84
673	848362.3694	1212405.204
674	848377.549	1212412.346
675	848280.8228	1212365.029
676	848264.921	1212357.145
677	848247.2891	1212348.404
678	848230.2653	1212339.964
679	848215.2089	1212332.5
680	848199.3021	1212324.613
681	848182.0587	1212316.064
682	848165.9114	1212308.059
683	848149.3856	1212299.866
684	848132.1332	1212291.313
685	848114.895	1212282.766
686	848099.2591	1212275.015
687	848082.3101	1212266.612
688	848065.777	1212258.415
689	848048.8015	1212249.999
690	848032.1725	1212241.755
691	848016.121	1212233.797
692	847999.9345	1212225.772
693	847983.6944	1212217.721
694	847966.7556	1212209.323
695	847999.437	1212225.525
696	848016.5386	1212234.004
697	848032.2074	1212241.772
698	848048.269	1212249.735
699	848064.8736	1212257.967
700	848081.1875	1212266.055
701	848096.3797	1212273.587
702	848113.1798	1212281.916
703	848128.9915	1212289.755
704	848145.6115	1212297.995
705	848163.2346	1212306.732
706	848179.0294	1212314.563
707	848194.7661	1212322.364
708	848211.2955	1212330.559
709	848226.6181	1212338.156
710	848242.9052	1212346.231
711	848259.7483	1212354.581
712	848274.3727	1212361.831
713	848288.7736	1212368.971
714	848303.6339	1212376.338
715	848320.0317	1212384.468
716	848335.6543	1212392.213
717	848358.009	1212403.152
718	848373.6729	1212410.522
719	848507.2431	1212450.295
720	848524.1208	1212452.33
721	847957.672	1212204.819
722	847941.1264	1212196.617
723	847923.9324	1212188.092
724	847907.6625	1212180.026
725	847890.778	1212171.655
726	847873.0225	1212162.852
727	847856.2315	1212154.528
728	847839.4434	1212146.205
729	847925.1394	1212188.691
730	847908.4753	1212180.429
731	847892.6528	1212172.585
732	847912.162	1212182.257
733	847896.8108	1212174.646
